Value,Text,STT
c3b69131-2931-4f67-926e-b244e18e8081,An ninh quốc gia,1
5576c952-dabe-4363-b94a-13419996ff4b,Bảo hiểm,2
c124612e-a23f-4199-8747-55fe4e8a8c89,"Bưu chính, viễn thông",3
e967223c-d26a-4c7f-a8d9-420843bd5bf9,Bổ trợ tư pháp,4
cb5c6841-2c38-48ca-b946-da24c8d8a099,"Cán bộ, công chức, viên chức",5
e4b6a170-8415-42a5-9ee2-f8eb147f5d15,Chính sách xã hội,6
3a225bc6-c8c9-459e-967e-9876d4eb2c33,Công nghiệp,7
efbefb52-bf45-41df-aaf4-6a4e833f333e,"Dân số, gia đình, trẻ em, bình đẳng giới",8
8545ecbc-f0ce-44aa-83d6-c43d056f63f2,Dân sự,9
a6ee2d1a-2edc-4c30-bff5-81efbd765464,Dân tộc,10
b64f0e6a-3020-4c4a-be45-a1e5370a0939,Đất đai,11
8e485a16-50aa-4c80-9fbe-3b286287f8c1,"Doanh nghiệp, hợp tác xã",12
0fb2411e-095b-4095-bbbe-fb8465ec4199,"Giáo dục, đào tạo",13
b82ee309-2527-4a7d-8d4d-fccdfabbc86c,"Giao thông, vận tải",14
a5b5fa2d-056c-48c4-b6fc-c782359511ff,Hành chính tư pháp,15
0672ce80-caa2-4d12-a474-6d86349c9dab,Hình sự,16
9daf2b7f-cf24-4c97-adf8-0903f6b7f18e,"Kế toán, kiểm toán",17
ff58c8ec-ab1b-4fdd-b732-5f09f9fa09cd,"Khiếu nại, tố cáo",18
3f0ce861-9980-43c9-9dcc-8e064c536bee,"Khoa học, công nghệ",19
ed53d710-e3ae-4741-abc7-0f5dd82dec24,Lao động,20
1657cd3c-c513-4df5-ae6b-e39a778c640d,Môi trường,21
0f8741e9-b3d2-488b-aa70-961ccc802227,"Ngân hàng, tiền tệ",22
6db952fa-b9dd-41f7-adf5-ccb22100ac9c,"Ngoại giao, điều ước quốc tế",23
81215563-6346-448e-bded-2933f86276bb,"Nông nghiệp, nông thôn",24
859b54fa-0c05-4807-a50c-c8be82fcae62,Quốc phòng,25
7a9dcc15-370d-40b4-a02b-28e583b25dbf,Tài chính,26
c054141c-d30c-4e83-9f35-2fb1c61c6e7c,Tài nguyên,27
1afcaf4b-85cb-4039-8627-3a8a101a7e5b,"Tài sản công, nợ công, dự trữ nhà nước",28
c7ee2251-ddf9-4c7a-88f8-a9568fad0247,"Thi đua, khen thưởng, các danh hiệu vinh dự nhà nước",29
88a4972a-48c2-4def-926b-a71b9f6e4be7,Thi hành án,30
ee961e69-7a8d-4405-8fe6-ecdf7e44323f,Thống kê,31
73b6a37d-b55b-443d-b0fd-8f7d1b215ca1,"Thông tin, báo chí, xuất bản",32
09ca05d1-7f1d-4887-a65d-a210374d1969,"Thuế, phí, lệ phí, các khoản thu khác",33
717625a2-281b-4307-b21b-68b1c73d2207,"Thương mại, đầu tư, chứng khoán",34
3fc1ee9d-eec6-4839-9c98-7ac2ca9e0792,Tổ chức bộ máy nhà nước,35
ce9b9ff4-87dd-44d1-add8-27c1ec82d856,"Tổ chức chính trị - xã hội, hội",36
cef09501-9f71-4c9a-aa35-238ea8c79f76,Tố tụng và các phương thức giải quyết tranh chấp,37
48d084d9-d3f1-4c13-a898-dde6840fe0ff,"Tôn giáo, tín ngưỡng",38
965fd0b7-e8b0-434a-83c2-9f9b2b4fbcba,"Trật tự, an toàn xã hội",39
01684735-cbae-4b6f-9471-1010ab2f350a,Tương trợ tư pháp,40
487180ab-07c0-45c1-9e73-1ab76b2a55c9,"Văn hóa, thể thao, du lịch",41
1c1f149f-f1bf-4ddb-9f6b-b2adbf17d410,Văn thư lưu trữ,42
11a7e159-46bf-48bf-93ec-4e415f84c678,"Xây dựng, nhà ở, đô thị",43
ec61c177-8f68-4a69-a42b-2257d599d907,Xây dựng pháp luật và thi hành pháp luật,44
607817d9-0840-4986-b41f-5f3e9ae650c2,"Y tế, dược",45
